,track_id,playlist_name,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
104,2N5y804mPVooHyrPB7FcmS,Tangos y boleros,Al vaivén de mi carreta,Afro-Cuban All Stars,0.654,0.544,9,-9.52,0,0.0392,0.239,0.000231,0.0673,0.679,125.174,461227
105,6Ds9miFD06FwpFdAuqDo0h,Tangos y boleros,Amor verdadero,Afro-Cuban All Stars,0.591,0.497,2,-11.801,1,0.0397,0.354,7.09e-06,0.136,0.756,136.568,396440
106,5sQGo3fB2NoFalyy4uZjiu,Tangos y boleros,Ojalá,Silvio Rodríguez,0.526,0.235,7,-14.074,0,0.0991,0.907,4.44e-06,0.111,0.377,91.24,212482
107,4z5w8e6TwbSUuVlZX3mOhO,Tangos y boleros,Cuando Cuando,Jimmy Sabater,0.584,0.499,0,-9.797,0,0.0373,0.636,7.18e-05,0.101,0.957,102.563,243120
108,5UvNaP0WEOLc5FKJfkjm5n,Tangos y boleros,Juan Tenorio,Grupo Fantasma,0.722,0.64,5,-4.735,0,0.0373,0.727,0.0245,0.547,0.832,80.02,317293
109,6SRi807ie3ZIp81j8usrRx,Tangos y boleros,La Casa de Fernando,Pacho Galan,0.825,0.644,10,-8.325,0,0.0454,0.498,0.000795,0.0474,0.961,102.579,195933
110,7zN8hXNAZE2gLImTiHFyyD,Tangos y boleros,Ay Cosita Linda,Pacho Galan,0.719,0.534,7,-8.429,0,0.0554,0.222,0.0,0.053,0.965,106.086,202818
111,7M2vQRhYz5lqlE6kf2j9kJ,Tangos y boleros,La Reina Del Swing,La-33,0.776,0.525,0,-9.315,1,0.0325,0.795,3.84e-05,0.093,0.891,126.549,276027
112,77AzAvK1ztYLDrHPt8Lv0f,Tangos y boleros,Bachata Rosa,Natalie Cole,0.658,0.414,9,-8.522,1,0.0311,0.79,2.64e-06,0.199,0.51,111.904,242200
113,3SsPVhEHMoOlVwHMtng5mH,Tangos y boleros,Libertango,Astor Piazzolla,0.438,0.612,9,-9.05,0,0.0614,0.846,0.283,0.955,0.493,158.938,251493
114,3tRpe4penetzVTWNjsdVyB,Tangos y boleros,Jeanne Y Paul,Astor Piazzolla,0.395,0.476,9,-9.606,0,0.0367,0.754,0.295,0.108,0.303,108.409,249747
115,1ZAYsScO4yNVYPD07TSpXN,Tangos y boleros,Jamaica Farewell,Harry Belafonte,0.598,0.195,2,-16.053,1,0.0925,0.951,0.0,0.101,0.745,145.178,181893
116,3XEtw7t4V5sfd2vtkp0ql7,Tangos y boleros,Smooth Operator - Single Version,Sade,0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,258693
117,1gDZARp2QrP8t2IVrgdSbO,Tangos y boleros,Que Nadie Sepa Mi Sufrir,Julio Jaramillo,0.718,0.408,2,-7.662,0,0.152,0.467,0.0,0.0975,0.703,165.061,162640
118,5t1kk7lxxBjAwm1hOYZX3b,Tangos y boleros,Te Esperare,Julio Jaramillo,0.508,0.452,7,-6.49,0,0.0523,0.378,0.0,0.233,0.523,168.918,153653
119,6BSfZ5AJg5OzUXQfMgCOkI,Tangos y boleros,El Aguacate,Julio Jaramillo,0.708,0.252,2,-12.475,0,0.0511,0.876,1.15e-05,0.173,0.718,95.6,181211
120,6UIHk7W6LNSRsMmu5hUdjb,Tangos y boleros,He pecado (feat. Bunbury y Orishas),Cabas,0.785,0.788,0,-5.857,0,0.0528,0.533,0.0,0.379,0.925,96.998,256107
121,3H0PlcSmQ6z4DDCBFkD7Wx,Cumbiones,Te Mentiría,La K'onga,0.651,0.731,7,-6.889,1,0.0549,0.116,0.0,0.0708,0.653,153.104,218431
122,38tuNK1B1WYVsggS3aDqLf,Cumbiones,Alejate de Mi - Versión Bachata,Camila,0.624,0.731,4,-7.383,1,0.0328,0.0652,2.37e-06,0.285,0.95,145.205,270653
123,1S2YPBElcf2CnHc59Xh52o,Cumbiones,Cachipay,Jorge Ariza,0.757,0.66,7,-7.205,1,0.0496,0.363,0.917,0.0757,0.979,66.658,147627
124,4wL59G4Nur3paBanDT6egw,Cumbiones,La Entrevista - Remasterizado,David Calzado y su Charanga Habanera,0.747,0.954,8,-2.892,1,0.0348,0.135,2.72e-06,0.434,0.87,98.007,292213
125,5g5lurZtBGXooVqshQP3k9,Cumbiones,Quiero Cumbia,Los Caligaris,0.639,0.886,11,-4.588,0,0.0377,0.0104,0.0,0.287,0.779,100.018,219150
126,2Mc6ADyceJoespgsQLW1e1,Cumbiones,Eco de Mis Ancestros,Nelda Piña y sus Tambores,0.703,0.747,11,-5.911,1,0.276,0.62,0.0,0.097,0.883,84.086,205500
127,7MmrcXVA7A5zZ2CbDuGHNa,Cumbiones,A Mí,Rels B,0.846,0.548,1,-6.397,1,0.256,0.241,0.0713,0.0419,0.516,94.925,209680
128,0NHt6ZbsksyTlwTcCeWDxk,Cumbiones,Mambo Con Boogaloo,La-33,0.693,0.806,0,-7.206,1,0.0647,0.53,0.000415,0.146,0.865,155.144,253120
129,3RCEkrCEWAcL8tk4f0zU63,Cumbiones,Sigue Felíz,Willie Colón,0.712,0.56,0,-10.747,1,0.0592,0.492,0.317,0.202,0.962,105.126,255173
130,1c7GpIXR8F85rFxFj90Z63,Cumbiones,Panameña,Willie Colón,0.736,0.485,0,-10.864,0,0.0443,0.428,0.0013,0.204,0.794,94.899,354600
131,2N5H8pIB12voccA8FPEHZ8,Cumbiones,Abuelita,Willie Colón,0.662,0.588,7,-10.073,0,0.0725,0.651,0.000507,0.294,0.757,93.53,263773
132,3LHLIzmE6AGHOraeuNObhA,Cumbiones,Pa’ Colombia,Willie Colón,0.858,0.524,10,-9.896,1,0.0569,0.466,0.0512,0.113,0.853,113.894,351947
133,1fIjc50dmcl9PkH3E4iG4E,Cumbiones,El Malo,Willie Colón,0.596,0.871,0,-6.007,0,0.0496,0.699,5.07e-05,0.0487,0.965,113.947,240147
134,1pdz7V7bK6qOjvapoa4jWY,Cumbiones,Willie Baby,Willie Colón,0.697,0.809,0,-5.827,1,0.0369,0.793,0.00101,0.226,0.775,127.24,168000
135,16z8r9uBq6V6VkC73QnJkY,Cumbiones,Chonqui,Willie Colón,0.532,0.784,0,-6.883,0,0.0501,0.655,0.000456,0.165,0.775,145.223,250920
136,5rdDVT2OI1x8it6QgMhek2,Cumbiones,Jazzy,Willie Colón,0.446,0.734,0,-10.14,1,0.0356,0.805,0.705,0.0721,0.96,110.28,245960
137,0IejbpRLIQS2NezKzMvaZz,Cumbiones,Cuatro Elementos,El Caribefunk,0.513,0.666,3,-6.954,0,0.0684,0.319,1.48e-06,0.336,0.845,158.079,223258
